solar,wind,solar cap
0.1,0.1,297.5
0.1,0.3,300.5
0.1,0.4,302.2
0.1,0.5,303.8
0.1,0.6,303.7
0.1,0.7,305.0
0.1,0.9,306.5
0.3,0.4,980.4
0.3,0.5,970.1
0.3,0.6,959.5
0.3,0.7,950.5
0.3,0.9,934.4
0.4,0.4,1259.4
0.4,0.5,1247.1
0.4,0.6,1233.9
0.4,0.7,1222.4
0.4,0.9,1200.9
0.5,0.1,1602.6
0.5,0.3,1547.7
0.5,0.4,1524.2
0.5,0.5,1509.4
0.5,0.6,1494.7
0.5,0.7,1482.2
0.6,0.4,1783.4
0.6,0.5,1768.4
0.6,0.6,1753.6
0.6,0.7,1741.3
0.7,0.4,2041.9
0.7,0.5,2026.6
0.7,0.6,2012.0
0.9,0.1,2664.1
0.9,0.3,2610.8
0.9,0.4,2595.6
