solar,wind,LDES energy cap
0.1,0.1,0.6
0.1,0.3,4.0
0.1,0.4,7.4
0.1,0.5,10.3
0.1,0.6,11.9
0.1,0.7,12.8
0.1,0.9,14.9
0.3,0.1,1.3
0.3,0.3,5.3
0.3,0.4,7.8
0.3,0.5,12.3
0.3,0.6,16.3
0.3,0.7,19.5
0.3,0.9,18.9
0.4,0.1,1.8
0.4,0.3,6.3
0.4,0.4,9.4
0.4,0.5,13.8
0.4,0.6,18.3
0.4,0.7,22.0
0.4,0.9,19.0
0.5,0.1,2.3
0.5,0.3,7.3
0.5,0.4,10.8
0.5,0.5,15.6
0.5,0.6,19.9
0.5,0.7,22.6
0.6,0.1,2.9
0.6,0.3,8.2
0.6,0.4,12.1
0.6,0.5,16.4
0.6,0.6,21.2
0.6,0.7,22.1
0.7,0.1,3.2
0.7,0.3,9.2
0.7,0.4,12.8
0.7,0.5,17.4
0.7,0.6,22.0
0.9,0.1,3.9
0.9,0.3,10.0
0.9,0.4,13.8
