solar,wind,solar theo share
0.1,0.1,10.0
0.1,0.3,9.9
0.1,0.4,9.7
0.1,0.5,9.6
0.1,0.6,9.6
0.1,0.7,9.6
0.1,0.9,9.4
0.3,0.1,29.9
0.3,0.3,29.5
0.3,0.4,29.3
0.3,0.5,28.8
0.3,0.6,28.5
0.3,0.7,28.2
0.3,0.9,28.1
0.4,0.1,39.8
0.4,0.3,39.3
0.4,0.4,38.9
0.4,0.5,38.3
0.4,0.6,37.8
0.4,0.7,37.4
0.4,0.9,37.7
0.5,0.1,49.7
0.5,0.3,49.0
0.5,0.4,48.4
0.5,0.5,47.6
0.5,0.6,47.1
0.5,0.7,46.7
0.6,0.1,59.6
0.6,0.3,58.7
0.6,0.4,58.0
0.6,0.5,57.1
0.6,0.6,56.3
0.6,0.7,56.0
0.7,0.1,69.6
0.7,0.3,68.4
0.7,0.4,67.6
0.7,0.5,66.4
0.7,0.6,65.6
0.9,0.1,89.0
0.9,0.3,87.8
0.9,0.4,86.6
