solar,wind,wind curt
0.1,0.1,0.1
0.1,0.3,1.2
0.1,0.4,2.0
0.1,0.5,3.2
0.1,0.6,6.9
0.1,0.7,11.1
0.1,0.9,18.1
0.3,0.1,1.3
0.3,0.3,2.1
0.3,0.4,2.6
0.3,0.5,3.9
0.3,0.6,7.0
0.3,0.7,10.7
0.3,0.9,20.7
0.4,0.1,1.5
0.4,0.3,2.9
0.4,0.4,3.7
0.4,0.5,5.2
0.4,0.6,7.8
0.4,0.7,11.5
0.4,0.9,23.0
0.5,0.1,1.4
0.5,0.3,3.5
0.5,0.4,4.5
0.5,0.5,6.1
0.5,0.6,8.6
0.5,0.7,12.6
0.6,0.1,1.6
0.6,0.3,4.3
0.6,0.4,5.4
0.6,0.5,7.1
0.6,0.6,9.6
0.6,0.7,14.4
0.7,0.1,2.1
0.7,0.3,5.3
0.7,0.4,6.2
0.7,0.5,8.0
0.7,0.6,10.8
0.9,0.1,2.9
0.9,0.3,6.5
0.9,0.4,7.4
