solar,wind,SDES absolute dispatch
0.1,0.1,23186707.8
0.1,0.3,30416526.6
0.1,0.4,29146633.5
0.1,0.5,30050236.4
0.1,0.6,33286662.4
0.1,0.7,36128420.6
0.1,0.9,36248221.3
0.3,0.1,112237660.5
0.3,0.3,143501968.3
0.3,0.4,148769230.6
0.3,0.5,158323062.7
0.3,0.6,171186760.3
0.3,0.7,187549625.0
0.3,0.9,190466678.4
0.4,0.1,188965431.7
0.4,0.3,208016140.1
0.4,0.4,228159180.2
0.4,0.5,246822584.6
0.4,0.6,254947748.3
0.4,0.7,256630804.5
0.4,0.9,258459476.4
0.5,0.1,286074956.4
0.5,0.3,300910517.0
0.5,0.4,307707636.6
0.5,0.5,311237020.6
0.5,0.6,314990536.8
0.5,0.7,307569587.1
0.6,0.1,326072406.2
0.6,0.3,344821941.8
0.6,0.4,349395220.2
0.6,0.5,360342446.0
0.6,0.6,358666187.3
0.6,0.7,344941663.0
0.7,0.1,364452871.5
0.7,0.3,404436878.0
0.7,0.4,397671947.6
0.7,0.5,394425927.4
0.7,0.6,378160391.4
0.9,0.1,437649994.8
0.9,0.3,443154266.8
0.9,0.4,427053179.3
