solar,wind,SDES discharge cap
0.1,0.1,78.8
0.1,0.3,76.9
0.1,0.4,75.7
0.1,0.5,74.9
0.1,0.6,81.8
0.1,0.7,84.9
0.1,0.9,86.0
0.3,0.1,165.6
0.3,0.3,199.3
0.3,0.4,202.1
0.3,0.5,207.4
0.3,0.6,215.7
0.3,0.7,231.4
0.3,0.9,230.3
0.4,0.1,231.1
0.4,0.3,250.5
0.4,0.4,264.4
0.4,0.5,275.1
0.4,0.6,277.2
0.4,0.7,279.3
0.4,0.9,277.8
0.5,0.1,311.4
0.5,0.3,324.6
0.5,0.4,324.4
0.5,0.5,321.5
0.5,0.6,321.8
0.5,0.7,314.6
0.6,0.1,335.7
0.6,0.3,352.2
0.6,0.4,351.5
0.6,0.5,357.5
0.6,0.6,352.5
0.6,0.7,341.0
0.7,0.1,363.0
0.7,0.3,402.0
0.7,0.4,390.6
0.7,0.5,382.8
0.7,0.6,366.0
0.9,0.1,421.2
0.9,0.3,428.1
0.9,0.4,407.5
