solar,wind,SDES capacity factor
0.1,0.1,12.7
0.1,0.3,13.2
0.1,0.4,12.7
0.1,0.5,12.5
0.1,0.6,12.5
0.1,0.7,12.4
0.1,0.9,11.9
0.3,0.1,18.7
0.3,0.3,19.3
0.3,0.4,19.6
0.3,0.5,19.4
0.3,0.6,19.3
0.3,0.7,19.0
0.3,0.9,18.6
0.4,0.1,19.8
0.4,0.3,20.6
0.4,0.4,20.8
0.4,0.5,20.7
0.4,0.6,20.5
0.4,0.7,20.3
0.4,0.9,19.2
0.5,0.1,20.2
0.5,0.3,20.8
0.5,0.4,21.0
0.5,0.5,20.8
0.5,0.6,20.5
0.5,0.7,20.1
0.6,0.1,20.5
0.6,0.3,20.9
0.6,0.4,21.0
0.6,0.5,20.9
0.6,0.6,20.3
0.6,0.7,20.2
0.7,0.1,20.8
0.7,0.3,21.1
0.7,0.4,21.0
0.7,0.5,20.7
0.7,0.6,20.3
0.9,0.1,20.9
0.9,0.3,21.3
0.9,0.4,21.1
