solar,wind,wind capacity factor
0.1,0.1,23.5
0.1,0.3,24.2
0.1,0.4,24.6
0.1,0.5,23.8
0.1,0.6,22.9
0.1,0.7,22.0
0.1,0.9,20.9
0.3,0.1,23.3
0.3,0.3,23.5
0.3,0.4,22.4
0.3,0.5,21.3
0.3,0.6,20.6
0.3,0.7,20.1
0.3,0.9,19.6
0.4,0.1,22.4
0.4,0.3,22.7
0.4,0.4,21.8
0.4,0.5,20.7
0.4,0.6,20.4
0.4,0.7,19.7
0.4,0.9,19.4
0.5,0.1,22.2
0.5,0.3,22.0
0.5,0.4,21.2
0.5,0.5,20.7
0.5,0.6,20.1
0.5,0.7,19.6
0.6,0.1,22.3
0.6,0.3,22.0
0.6,0.4,21.4
0.6,0.5,20.8
0.6,0.6,20.0
0.6,0.7,19.6
0.7,0.1,22.5
0.7,0.3,22.0
0.7,0.4,20.8
0.7,0.5,20.5
0.7,0.6,19.8
0.9,0.1,22.3
0.9,0.3,21.4
0.9,0.4,21.0
