solar,wind,VRE curt
0.1,0.1,0.3
0.1,0.3,4.1
0.1,0.4,6.2
0.1,0.5,9.7
0.1,0.6,13.5
0.1,0.7,16.6
0.1,0.9,24.2
0.3,0.1,9.0
0.3,0.3,12.6
0.3,0.4,15.6
0.3,0.5,19.4
0.3,0.6,23.2
0.3,0.7,26.1
0.3,0.9,32.7
0.4,0.1,19.9
0.4,0.3,20.9
0.4,0.4,22.8
0.4,0.5,25.6
0.4,0.6,28.8
0.4,0.7,31.3
0.4,0.9,37.0
0.5,0.1,29.4
0.5,0.3,27.4
0.5,0.4,28.4
0.5,0.5,30.5
0.5,0.6,33.0
0.5,0.7,35.0
0.6,0.1,36.5
0.6,0.3,32.3
0.6,0.4,32.7
0.6,0.5,33.9
0.6,0.6,36.1
0.6,0.7,37.5
0.7,0.1,42.2
0.7,0.3,36.0
0.7,0.4,35.7
0.7,0.5,36.6
0.7,0.6,38.3
0.9,0.1,50.2
0.9,0.3,41.1
0.9,0.4,40.3
