solar,wind,transmission peak load ratio
0.1,0.1,0.609
0.1,0.3,0.88
0.1,0.4,0.916
0.1,0.5,0.943
0.1,0.6,0.999
0.1,0.7,1.04
0.1,0.9,1.144
0.3,0.1,0.611
0.3,0.3,0.848
0.3,0.4,0.906
0.3,0.5,0.965
0.3,0.6,1.04
0.3,0.7,1.066
0.3,0.9,1.145
0.4,0.1,0.625
0.4,0.3,0.871
0.4,0.4,0.929
0.4,0.5,0.989
0.4,0.6,1.046
0.4,0.7,1.077
0.4,0.9,1.151
0.5,0.1,0.684
0.5,0.3,0.908
0.5,0.4,0.961
0.5,0.5,1.007
0.5,0.6,1.055
0.5,0.7,1.083
0.6,0.1,0.734
0.6,0.3,0.936
0.6,0.4,0.973
0.6,0.5,1.015
0.6,0.6,1.057
0.6,0.7,1.087
0.7,0.1,0.748
0.7,0.3,0.954
0.7,0.4,0.989
0.7,0.5,1.02
0.7,0.6,1.059
0.9,0.1,0.771
0.9,0.3,0.967
0.9,0.4,1.015
