solar,wind,ES wind cap
0.1,0.1,44.5
0.1,0.3,73.1
0.1,0.4,74.0
0.1,0.5,65.6
0.1,0.6,63.7
0.1,0.7,65.2
0.1,0.9,76.6
0.3,0.1,36.6
0.3,0.3,87.2
0.3,0.4,98.7
0.3,0.5,97.9
0.3,0.6,90.3
0.3,0.7,73.1
0.3,0.9,49.8
0.4,0.1,34.6
0.4,0.3,105.7
0.4,0.4,115.7
0.4,0.5,118.7
0.4,0.6,109.7
0.4,0.7,95.5
0.4,0.9,52.5
0.5,0.1,33.3
0.5,0.3,107.5
0.5,0.4,123.7
0.5,0.5,141.1
0.5,0.6,120.6
0.5,0.7,98.9
0.6,0.1,28.0
0.6,0.3,107.2
0.6,0.4,136.4
0.6,0.5,141.5
0.6,0.6,114.6
0.6,0.7,95.1
0.7,0.1,16.9
0.7,0.3,113.3
0.7,0.4,136.0
0.7,0.5,112.7
0.7,0.6,88.7
0.9,0.1,6.3
0.9,0.3,99.2
0.9,0.4,73.7
