solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.3
0.3,0.1,6.7
0.3,0.3,2.6
0.3,0.4,2.3
0.3,0.5,2.0
0.3,0.6,1.7
0.3,0.7,1.9
0.3,0.9,4.3
0.4,0.1,10.7
0.4,0.3,5.1
0.4,0.4,4.3
0.4,0.5,3.9
0.4,0.6,3.7
0.4,0.7,5.8
0.4,0.9,16.9
0.5,0.1,13.9
0.5,0.3,7.9
0.5,0.4,6.8
0.5,0.5,6.4
0.5,0.6,10.6
0.5,0.7,17.7
0.6,0.1,16.2
0.6,0.3,10.9
0.6,0.4,9.8
0.6,0.5,13.4
0.6,0.6,21.2
0.6,0.7,26.2
0.7,0.1,18.5
0.7,0.3,13.9
0.7,0.4,15.1
0.7,0.5,23.4
0.7,0.6,29.0
0.9,0.1,23.4
0.9,0.3,23.5
0.9,0.4,31.3
