solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.1
0.3,0.1,11.6
0.3,0.3,9.3
0.3,0.4,9.6
0.3,0.5,9.7
0.3,0.6,9.6
0.3,0.7,9.5
0.3,0.9,9.3
0.4,0.1,24.6
0.4,0.3,23.5
0.4,0.4,22.9
0.4,0.5,22.5
0.4,0.6,22.2
0.4,0.7,22.0
0.4,0.9,21.4
0.5,0.1,36.1
0.5,0.3,35.4
0.5,0.4,35.0
0.5,0.5,34.6
0.5,0.6,34.4
0.5,0.7,34.2
0.6,0.1,45.2
0.6,0.3,44.9
0.6,0.4,44.5
0.6,0.5,44.3
0.6,0.6,44.1
0.6,0.7,43.9
0.7,0.1,52.3
0.7,0.3,52.2
0.7,0.4,51.9
0.7,0.5,51.7
0.7,0.6,51.5
0.9,0.1,62.3
0.9,0.3,62.1
0.9,0.4,61.8
